# 2D_CellID X Y Z_meter Indicator
8 72.19 646.00 548.04 1
8 72.19 646.00 543.94 0
8 72.19 646.00 535.24 1
8 72.19 646.00 532.44 0
8 72.19 646.00 521.34 1
8 72.19 646.00 515.04 0
8 72.19 646.00 494.14 1
8 72.19 646.00 472.14 0
8 72.19 646.00 456.44 1
8 72.19 646.00 453.54 0
8 72.19 646.00 426.34 1
8 72.19 646.00 420.54 0
8 72.19 646.00 412.94 1
8 72.19 646.00 407.74 0
8 72.19 646.00 392.14 1
8 72.19 646.00 383.16 -999
9 77.15 646.00 554.14 0
9 77.15 646.00 546.84 1
9 77.15 646.00 542.74 0
9 77.15 646.00 533.94 1
9 77.15 646.00 531.04 0
9 77.15 646.00 519.94 1
9 77.15 646.00 513.54 0
9 77.15 646.00 492.54 1
9 77.15 646.00 470.34 0
9 77.15 646.00 454.64 1
9 77.15 646.00 451.64 0
9 77.15 646.00 424.24 1
9 77.15 646.00 418.44 0
9 77.15 646.00 410.84 1
9 77.15 646.00 405.64 0
9 77.15 646.00 389.84 1
9 77.15 646.00 380.84 -999
10 82.11 646.00 553.54 0
10 82.11 646.00 546.14 1
10 82.11 646.00 542.04 0
10 82.11 646.00 533.34 1
10 82.11 646.00 530.34 0
10 82.11 646.00 519.24 1
10 82.11 646.00 512.84 0
10 82.11 646.00 491.74 1
10 82.11 646.00 469.44 0
10 82.11 646.00 453.64 1
10 82.11 646.00 450.74 0
10 82.11 646.00 423.24 1
10 82.11 646.00 417.34 0
10 82.11 646.00 409.74 1
10 82.11 646.00 404.54 0
10 82.11 646.00 388.74 1
10 82.11 646.00 379.67 -999
11 87.08 646.00 552.32 0
11 87.08 646.00 544.92 1
11 87.08 646.00 540.82 0
11 87.08 646.00 531.92 1
11 87.08 646.00 529.02 0
11 87.08 646.00 517.82 1
11 87.08 646.00 511.32 0
11 87.08 646.00 490.12 1
11 87.08 646.00 467.72 0
11 87.08 646.00 451.82 1
11 87.08 646.00 448.82 0
11 87.08 646.00 421.22 1
11 87.08 646.00 415.32 0
11 87.08 646.00 407.62 1
11 87.08 646.00 402.32 0
11 87.08 646.00 386.42 1
11 87.08 646.00 377.33 -999
12 92.04 646.00 551.10 0
12 92.04 646.00 543.60 1
12 92.04 646.00 539.50 0
12 92.04 646.00 530.60 1
12 92.04 646.00 527.60 0
12 92.04 646.00 516.40 1
12 92.04 646.00 509.80 0
12 92.04 646.00 488.50 1
12 92.04 646.00 466.00 0
12 92.04 646.00 449.90 1
12 92.04 646.00 447.00 0
12 92.04 646.00 419.10 1
12 92.04 646.00 413.20 0
12 92.04 646.00 405.50 1
12 92.04 646.00 400.10 0
12 92.04 646.00 384.10 1
12 92.04 646.00 374.98 -999
13 97.00 646.00 549.87 0
13 97.00 646.00 542.37 1
13 97.00 646.00 538.17 0
13 97.00 646.00 529.27 1
13 97.00 646.00 526.27 0
13 97.00 646.00 514.87 1
13 97.00 646.00 508.37 0
13 97.00 646.00 486.87 1
13 97.00 646.00 464.17 0
13 97.00 646.00 448.07 1
13 97.00 646.00 445.07 0
13 97.00 646.00 417.07 1
13 97.00 646.00 411.07 0
13 97.00 646.00 403.27 1
13 97.00 646.00 397.97 0
13 97.00 646.00 381.77 1
13 97.00 646.00 372.61 -999
14 101.97 646.00 549.26 0
14 101.97 646.00 541.76 1
14 101.97 646.00 537.56 0
14 101.97 646.00 528.56 1
14 101.97 646.00 525.56 0
14 101.97 646.00 514.16 1
14 101.97 646.00 507.56 0
14 101.97 646.00 486.06 1
14 101.97 646.00 463.26 0
14 101.97 646.00 447.16 1
14 101.97 646.00 444.16 0
14 101.97 646.00 415.96 1
14 101.97 646.00 409.96 0
14 101.97 646.00 402.26 1
14 101.97 646.00 396.86 0
14 101.97 646.00 380.66 1
14 101.97 646.00 371.43 -999
15 106.93 646.00 548.03 0
15 106.93 646.00 540.43 1
15 106.93 646.00 536.23 0
15 106.93 646.00 527.23 1
15 106.93 646.00 524.13 0
15 106.93 646.00 512.73 1
15 106.93 646.00 506.13 0
15 106.93 646.00 484.43 1
15 106.93 646.00 461.53 0
15 106.93 646.00 445.23 1
15 106.93 646.00 442.23 0
15 106.93 646.00 413.93 1
