# X, Y, Z
466.77 428.64 417.55
486.62 428.64 422.47
506.48 428.64 427.04
526.33 428.64 431.13
546.18 428.64 434.75
566.03 428.64 438.82
585.89 428.64 442.93
605.74 428.64 446.78
625.59 428.64 450.98
645.45 428.64 455.64
665.30 428.64 459.52
30.00 408.65 516.07
49.85 408.65 512.15
69.71 408.65 508.32
89.56 408.65 504.21
109.41 408.65 500.31
129.27 408.65 496.86
149.12 408.65 493.92
168.97 408.65 489.49
188.82 408.65 484.77
208.68 408.65 476.77
228.53 408.65 467.25
248.38 408.65 457.96
268.24 408.65 447.73
288.09 408.65 437.84
307.94 408.65 428.80
327.80 408.65 420.92
347.65 408.65 414.17
367.50 408.65 408.87
387.36 408.65 404.58
407.21 408.65 403.02
427.06 408.65 405.46
446.92 408.65 408.94
466.77 408.65 413.32
486.62 408.65 418.34
506.48 408.65 423.11
526.33 408.65 427.07
546.18 408.65 431.20
566.03 408.65 434.69
585.89 408.65 438.82
605.74 408.65 442.92
625.59 408.65 447.02
645.45 408.65 451.58
665.30 408.65 455.52
30.00 388.66 512.12
49.85 388.66 508.22
69.71 388.66 504.17
89.56 388.66 500.06
109.41 388.66 496.40
129.27 388.66 493.23
149.12 388.66 489.63
168.97 388.66 485.52
188.82 388.66 480.64
208.68 388.66 472.81
228.53 388.66 463.59
248.38 388.66 453.66
268.24 388.66 443.55
288.09 388.66 433.67
307.94 388.66 424.52
327.80 388.66 416.67
347.65 388.66 409.89
367.50 388.66 404.29
387.36 388.66 400.35
407.21 388.66 398.71
427.06 388.66 401.12
446.92 388.66 404.66
466.77 388.66 409.10
486.62 388.66 414.16
506.48 388.66 418.83
526.33 388.66 422.95
546.18 388.66 426.91
566.03 388.66 430.88
585.89 388.66 434.74
605.74 388.66 438.87
625.59 388.66 442.85
645.45 388.66 447.50
665.30 388.66 451.45
30.00 368.68 507.94
49.85 368.68 504.09
69.71 368.68 500.56
89.56 368.68 496.49
109.41 368.68 492.61
129.27 368.68 489.14
149.12 368.68 485.33
168.97 368.68 480.94
188.82 368.68 475.78
208.68 368.68 467.83
228.53 368.68 459.12
248.38 368.68 449.40
268.24 368.68 439.43
288.09 368.68 429.58
307.94 368.68 420.57
327.80 368.68 412.60
347.65 368.68 405.83
367.50 368.68 400.38
387.36 368.68 396.76
407.21 368.68 395.57
427.06 368.68 397.38
446.92 368.68 400.58
466.77 368.68 404.81
486.62 368.68 409.53
506.48 368.68 414.18
526.33 368.68 418.62
546.18 368.68 422.67
566.03 368.68 426.68
585.89 368.68 430.72
605.74 368.68 434.78
625.59 368.68 438.98
645.45 368.68 443.32
665.30 368.68 447.25
30.00 348.69 503.56
49.85 348.69 499.97
69.71 348.69 496.01
89.56 348.69 492.00
109.41 348.69 488.29
129.27 348.69 484.54
149.12 348.69 480.61
168.97 348.69 476.07
188.82 348.69 471.04
208.68 348.69 462.93
228.53 348.69 454.37
248.38 348.69 444.73
268.24 348.69 434.81
288.09 348.69 425.00
307.94 348.69 416.04
327.80 348.69 408.13
347.65 348.69 401.42
367.50 348.69 396.00
387.36 348.69 392.42
407.21 348.69 391.17
427.06 348.69 393.03
446.92 348.69 396.11
466.77 348.69 400.21
486.62 348.69 404.76
506.48 348.69 409.34
526.33 348.69 413.92
546.18 348.69 418.02
566.03 348.69 422.07
585.89 348.69 426.12
605.74 348.69 430.17
625.59 348.69 434.34
645.45 348.69 439.04
665.30 348.69 442.74
30.00 328.70 499.72
49.85 328.70 496.08
