# GridID, X, Y, Top_horizon_elevation, Bot_horizon_elevation
306 1590.000000 15.000000 3.402909 -47.277676
307 1605.000000 15.000000 3.423178 -47.261461
308 1620.000000 15.000000 3.497163 -47.202274
309 1635.000000 15.000000 3.622901 -47.101684
310 1650.000000 15.000000 3.798432 -46.961259
311 1665.000000 15.000000 4.021794 -46.782570
312 1680.000000 15.000000 4.291026 -46.567185
313 1695.000000 15.000000 4.604166 -46.316673
314 1710.000000 15.000000 4.959252 -46.032604
315 1725.000000 15.000000 5.354325 -45.716546
316 1740.000000 15.000000 5.787421 -45.370070
317 1755.000000 15.000000 6.256579 -44.994743
318 1770.000000 15.000000 6.759839 -44.592136
319 1785.000000 15.000000 7.295238 -44.163816
320 1800.000000 15.000000 7.860816 -43.711355
321 1815.000000 15.000000 8.454610 -43.236319
322 1830.000000 15.000000 9.074660 -42.740280
323 1845.000000 15.000000 9.719003 -42.224805
324 1860.000000 15.000000 10.385679 -41.691465
325 1875.000000 15.000000 11.072726 -41.141827
326 1890.000000 15.000000 11.778183 -40.577462
327 1905.000000 15.000000 12.500087 -39.999939
328 1920.000000 15.000000 13.236479 -39.410826
329 1935.000000 15.000000 13.985396 -38.811692
330 1950.000000 15.000000 14.744876 -38.204108
331 1965.000000 15.000000 15.512959 -37.589641
332 1980.000000 15.000000 16.287683 -36.969862
333 1995.000000 15.000000 17.067087 -36.346340
334 2010.000000 15.000000 17.849209 -35.720642
335 2025.000000 15.000000 18.632087 -35.094340
336 2040.000000 15.000000 19.413761 -34.469001
337 2055.000000 15.000000 20.192268 -33.846195
338 2070.000000 15.000000 20.965648 -33.227491
339 2085.000000 15.000000 21.731939 -32.614458
340 2100.000000 15.000000 22.489179 -32.008666
341 2115.000000 15.000000 23.235408 -31.411683
342 2130.000000 15.000000 23.968663 -30.825079
343 2145.000000 15.000000 24.686983 -30.250423
344 2160.000000 15.000000 25.388407 -29.689284
345 2175.000000 15.000000 26.070973 -29.143231
346 2190.000000 15.000000 26.732720 -28.613833
347 2205.000000 15.000000 27.371687 -28.102659
348 2220.000000 15.000000 27.985912 -27.611279
349 2235.000000 15.000000 28.573433 -27.141262
350 2250.000000 15.000000 29.132290 -26.694177
351 2265.000000 15.000000 29.660520 -26.271592
352 2280.000000 15.000000 30.156162 -25.875078
353 2295.000000 15.000000 30.617256 -25.506203
354 2310.000000 15.000000 31.041839 -25.166537
355 2325.000000 15.000000 31.427949 -24.857648
356 2340.000000 15.000000 31.773627 -24.581106
357 2355.000000 15.000000 32.076909 -24.338480
358 2370.000000 15.000000 32.335835 -24.131338
359 2385.000000 15.000000 32.546917 -23.962473
360 2400.000000 15.000000 32.689476 -23.848425
361 2415.000000 15.000000 32.757484 -23.794018
362 2430.000000 15.000000 32.758055 -23.793561
363 2445.000000 15.000000 32.707448 -23.834046
364 2460.000000 15.000000 32.607987 -23.913614
365 2475.000000 15.000000 32.460405 -24.031679
366 2490.000000 15.000000 32.265435 -24.187655
367 2505.000000 15.000000 32.023810 -24.380955
368 2520.000000 15.000000 31.736264 -24.610991
369 2535.000000 15.000000 31.403529 -24.877179
370 2550.000000 15.000000 31.026338 -25.178931
371 2565.000000 15.000000 30.605426 -25.515660
372 2580.000000 15.000000 30.141525 -25.886781
373 2595.000000 15.000000 29.635368 -26.291706
374 2610.000000 15.000000 29.087689 -26.729849
375 2625.000000 15.000000 28.499221 -27.200624
376 2640.000000 15.000000 27.870697 -27.703443
377 2655.000000 15.000000 27.202849 -28.237720
378 2670.000000 15.000000 26.496412 -28.802870
379 2685.000000 15.000000 25.752119 -29.398304
380 2700.000000 15.000000 24.970703 -30.023437
381 2715.000000 15.000000 24.152896 -30.677682
382 2730.000000 15.000000 23.299432 -31.360453
383 2745.000000 15.000000 22.411045 -32.071163
384 2760.000000 15.000000 21.488468 -32.809225
385 2775.000000 15.000000 20.532433 -33.574052
386 2790.000000 15.000000 19.543674 -34.365060
387 2805.000000 15.000000 18.522924 -35.181659
388 2820.000000 15.000000 17.470917 -36.023265
389 2835.000000 15.000000 16.388385 -36.889291
390 2850.000000 15.000000 15.276062 -37.779149
391 2865.000000 15.000000 14.134681 -38.692254
392 2880.000000 15.000000 12.964974 -39.628019
393 2895.000000 15.000000 11.767677 -40.585857
394 2910.000000 15.000000 10.543521 -41.565182
395 2925.000000 15.000000 9.293239 -42.565407
396 2940.000000 15.000000 8.017565 -43.585946
397 2955.000000 15.000000 6.717233 -44.626212
398 2970.000000 15.000000 5.392975 -45.685619
399 2985.000000 15.000000 4.045524 -46.763579
400 0.000000 30.000000 34.853373 -22.117308
401 15.000000 30.000000 36.177780 -21.057783
402 30.000000 30.000000 37.475834 -20.019339
403 45.000000 30.000000 38.746945 -19.002450
404 60.000000 30.000000 39.990523 -18.007588
405 75.000000 30.000000 41.205978 -17.035224
406 90.000000 30.000000 42.392720 -16.085830
407 105.000000 30.000000 43.550158 -15.159879
408 120.000000 30.000000 44.677703 -14.257844
409 135.000000 30.000000 45.774764 -13.380195
410 150.000000 30.000000 46.840752 -12.527405
411 165.000000 30.000000 47.875075 -11.699946
412 180.000000 30.000000 48.877145 -10.898290
413 195.000000 30.000000 49.846370 -10.122909
414 210.000000 30.000000 50.782162 -9.374276
415 225.000000 30.000000 51.683929 -8.652862
416 240.000000 30.000000 52.551082 -7.959140
